Accession Number,EC,Species,Label,Enzyme,Reaction ID,Mechanism,Substrates,Products,Km,Kcat,Inhibitors,KI,Keq
,1.2.4.2,Escherichia coli,R1,2-oxoglutarate dehydrogenase subunit E1,R00265,MRL,1 n2Oxoglutarate; 1 NAD; 1 CoA,1 NADH; 1 CO2; 1 SuccinylCoA,Km_n2Oxoglutarate: 0.004802896571207601; Km_CO2: 0.1392034690644165; Km_NAD: 0.01740; Km_CoA: 0.00279; Km_NADH: 0.00430; Km_SuccinylCoA: 0.00317,Kcat_F: 0.60710; Kcat_R: 0.88833,NADH;SuccinylCoA,NADH_KI: 0.01331;SuccinylCoA_KI: 0.02995,Keq: 88000
,1.1.1.100,Escherichia coli,R2,3-oxoacyl-ACP reductase,R02767,MRL,1 _3R_3_Hydroxyacyl_acyl_carrier_protein; 1 NADP,1 _3_Oxoacyl_acyl_carrier_protein; 1 NADPH,Km__3R_3_Hydroxyacyl_acyl_carrier_protein: 2.377988159152294; Km_NADP: 0.3630093042152572; Km__3_Oxoacyl_acyl_carrier_protein: 0.22074346084885016; Km_NADPH: 0.1382872476388824,Kcat_F: 15.866653799660519; Kcat_R: 18.569588475277573,,,Keq: 1
,2.3.1.41,Escherichia coli,R3,3-oxoacyl-ACP synthase I ,R02768,MRL,1 Acyl_acyl_carrier_protein; 1 Malonyl_acyl_carrier_protein,1 _3_Oxoacyl_acyl_carrier_protein; 1 CO2; 1 Acyl_carrier_protein,Km_Acyl_acyl_carrier_protein: 0.035543829299599906; Km_Malonyl_acyl_carrier_protein: 0.039677592988603294; Km__3_Oxoacyl_acyl_carrier_protein: 0.0354713920383699; Km_CO2: 0.7564191511301757; Km_Acyl_carrier_protein: 0.20227509789097517,Kcat_F: 15.711029256185036; Kcat_R: 90.36415081898022,,,Keq: 1000
,2.3.1.180,Escherichia coli,R4,3-oxoacyl-ACP synthase III ,R10707,MRL,1 AcetylCoA; 1 Malonyl_acyl_carrier_protein,1 Acetoacetyl_acp; 1 CoA; 1 CO2,Km_AcetylCoA: 0.024522453779033997; Km_Malonyl_acyl_carrier_protein: 0.02292909762179665; Km_Acetoacetyl_acp: 0.021889696333987203; Km_CoA: 0.018268096783287; Km_CO2: 0.30142528957115894,Kcat_F: 9.026737223312164; Kcat_R: 23.323639004340702,,,Keq: 1000
,2.3.1.9,Escherichia coli,R5,Acetyl-CoA C-acyltransferase,R00238,MRL,2 AcetylCoA,1 CoA; 1 AcetoAcetylCoA,Km_AcetylCoA: 0.04170; Km_CoA: 0.027049764096584602; Km_AcetoAcetylCoA: 0.030461794160642697,Kcat_F: 85.92149; Kcat_R: 92.89815,,,Keq: 0.000042
,6.4.1.2,Escherichia coli,R6,Acetyl-CoA carboxytransferase,R00742,MRL,1 ATP; 1 AcetylCoA; 1 HCO3,1 ADP; 1 Orthophosphate; 1 Malonyl_CoA,Km_ATP: 0.1566066735726027; Km_AcetylCoA: 0.08441571749759179; Km_HCO3: 2.936154790955705; Km_ADP: 0.1263734467281167; Km_Orthophosphate: 0.9252385222638538; Km_Malonyl_CoA: 0.077873396483099,Kcat_F: 5.246378481803118; Kcat_R: 5.228691200349037,LongchainacylCoA,LongchainacylCoA_KI: 0.01,Keq: 39.32771904303767
,4.2.1.3,Escherichia coli,R7,Aconitate hydratase A,R01325,MRL,1 Citrate,1 cis_Aconitate; 1 H2O,Km_Citrate: 0.2769054612122886; Km_cis_Aconitate: 0.0829184778572761; Km_H2O: 0.1226229169529919,Kcat_F: 6.095328158339833; Kcat_R: 14.473185356599657,Hydroxycitrate,Hydroxycitrate_KI: 0.62495,Keq: 0.03
,4.2.1.3,Escherichia coli,R8,Aconitate hydratase B,R01900,MRL,1 Isocitrate,1 cis_Aconitate; 1 H2O,Km_Isocitrate: 0.4973345723995213; Km_cis_Aconitate: 0.20973158994708452; Km_H2O: 0.4914650574502415,Kcat_F: 8.6823787435359; Kcat_R: 12.966101409217947,,,Keq: 0.5
,2.7.4.3,Escherichia coli,R9,Adenylate kinase,R00127,MRL,1 ATP; 1 AMP,2 ADP,Km_ATP: 0.09741576775073268; Km_AMP: 0.1478296145572596; Km_ADP: 0.11309,Kcat_F: 12.44690; Kcat_R: 12.33181,,,Keq: 0.9
,2.7.1.11,Escherichia coli,R10,ATP-dependent 6-phosphofructokinase,R00756,MRL,1 ATP; 1 D_Fructose_6_phosphate,1 ADP; 1 D_Fructose_1_6_bisphosphate,Km_ATP: 0.3615091051271357; Km_D_Fructose_6_phosphate: 0.6662827978505831; Km_ADP: 0.2190534579120371; Km_D_Fructose_1_6_bisphosphate: 0.3506115754649639,Kcat_F: 11.287573797685615; Kcat_R: 11.807247859565834,ATP;Phosphoenolpyruvate,ATP_KI: 0.73427;Phosphoenolpyruvate_KI: 0.61817,Keq: 1300
