Label,EC,Type,StartingConc,Conc,Mechanisms,Parameters,Species,Relative
2-oxoglutarate dehydrogenase subunit E1,1.2.4.2,Endogenous Enzyme,0.028673653,,,,Escherichia coli,rel0
ATP-dependent 6-phosphofructokinase,2.7.1.11,Endogenous Enzyme,0.001095808,,,,Escherichia coli,rel0
Beta-hydroxydecanoyl_-ACP dehydratase,4.2.1.59,Endogenous Enzyme,0.003287425,,,,Escherichia coli,rel0
Beta-ketoacyl-[acyl-carrier-protein] synthase II,2.3.1.41,Endogenous Enzyme,0.006757485,,,,Escherichia coli,rel0
Enolase,4.2.1.11,Endogenous Enzyme,0.013697605,,,,Escherichia coli,rel0
Enoyl_-[acyl-carrier-protein] reductase ,1.3.1.9,Endogenous Enzyme,0.009862275,,,,Escherichia coli,rel0
Fatty acid oxidation complex subunit alpha ,1.1.1.35,Endogenous Enzyme,0.000547904,,,,Escherichia coli,rel0
Fatty acid oxidation complex subunit alpha ,4.2.1.17,Endogenous Enzyme,0.000547904,,,,Escherichia coli,rel0
Fatty acid oxidation complex subunit alpha ,4.2.1.17,Endogenous Enzyme,0.000547904,,,,Escherichia coli,rel0
"Fructose_1,6-bisphosphatase",3.1.3.11,Endogenous Enzyme,0.002374251,,,,Escherichia coli,rel0
3-oxoacyl-ACP reductase,1.1.1.100,Endogenous Enzyme,0.001826347,,,,Escherichia coli,rel0
Fructose-bisphosphatase aldolase,4.1.2.13,Endogenous Enzyme,0.007305389,,,,Escherichia coli,rel0
Fumarate hydratase class I,4.2.1.2,Endogenous Enzyme,0.009314371,,,,Escherichia coli,rel0
Glucose-6-phosphate dehydrogenase,1.1.1.49,Endogenous Enzyme,0.004565868,,,,Escherichia coli,rel0
Glucose-6-phosphate isomerase,5.3.1.9,Endogenous Enzyme,0.000913174,,,,Escherichia coli,rel0
Glyceraldehyde-3-phosphate dehydrogenase,1.2.1.12,Endogenous Enzyme,0.019724551,,,,Escherichia coli,rel0
Glycogen phosphorylase,2.4.1.1,Endogenous Enzyme,0.001826347,,,,Escherichia coli,rel0
Long-chain-fatty-acid--CoA ligase,6.2.1.3,Endogenous Enzyme,0.001095808,,,,Escherichia coli,rel0
Malate dehydrogenase,1.1.1.37,Endogenous Enzyme,0.012601796,,,,Escherichia coli,rel0
Malonyl CoA-ACP transacylase,2.3.1.39,Endogenous Enzyme,0.002374251,,,,Escherichia coli,rel0
NADP-dependent isocitrate dehydrogenase,1.1.1.42,Endogenous Enzyme,0.01698503,,,,Escherichia coli,rel0
3-oxoacyl-ACP synthase I ,2.3.1.41,Endogenous Enzyme,0.005661677,,,,Escherichia coli,rel0
NADP-dependent isocitrate dehydrogenase,1.1.1.42,Endogenous Enzyme,0.01698503,,,,Escherichia coli,rel0
Nucleoside-diphosphate kinase,2.7.4.6,Endogenous Enzyme,0.003652695,,,,Escherichia coli,rel0
Phosphoenolpyruvate carboxykinase (ATP),4.1.1.49,Endogenous Enzyme,0.007427146,,,,Escherichia coli,rel0
Phosphoenolpyruvate carboxylase,4.1.1.31,Endogenous Enzyme,0.005357285,,,,Escherichia coli,rel0
Phosphoenolpyruvate synthase,2.7.9.2,Endogenous Enzyme,0.010958084,,,,Escherichia coli,rel0
Phosphoglucomutase,5.4.2.2,Endogenous Enzyme,0.003652695,,,,Escherichia coli,rel0
Phosphoglycerate kinase,2.7.2.3,Endogenous Enzyme,0.01661976,,,,Escherichia coli,rel0
Phosphoglycerate mutase,5.4.2.11,Endogenous Enzyme,0.000365269,,,,Escherichia coli,rel0
Pyruvate dehydrogenase E1 component,1.2.4.1,Endogenous Enzyme,0.018628742,,,,Escherichia coli,rel0
3-oxoacyl-ACP synthase III ,2.3.1.180,Endogenous Enzyme,0.00347006,,,,Escherichia coli,rel0
Pyruvate kinase I,2.7.1.40,Endogenous Enzyme,0.00657485,,,,Escherichia coli,rel0
Pyruvate kinase II,2.7.1.40,Endogenous Enzyme,0.00694012,,,,Escherichia coli,rel0
Ribose-5-phosphate isomerase,5.3.1.6,Endogenous Enzyme,0.002008982,,,,Escherichia coli,rel0
Ribulose-phosphate 3-epimerase,5.1.3.1,Endogenous Enzyme,0.000913174,,,,Escherichia coli,rel0
Succinate dehydrogenase,1.3.5.1,Endogenous Enzyme,0.007305389,,,,Escherichia coli,rel0
Succinyl-CoA ligase,6.2.1.5,Endogenous Enzyme,0.018263473,,,,Escherichia coli,rel0
Transaldolase,2.2.1.2,Endogenous Enzyme,0.011871257,,,,Escherichia coli,rel0
Transketolase,2.2.1.1,Endogenous Enzyme,0.014976048,,,,Escherichia coli,rel0
Triose-phosphate isomerase,5.3.1.1,Endogenous Enzyme,0.002922156,,,,Escherichia coli,rel0
Acetyl-CoA C-acyltransferase,2.3.1.9,Endogenous Enzyme,0.000182635,,,,Escherichia coli,rel0
Type II citrate synthase,2.3.3.1,Endogenous Enzyme,0.010775449,,,,Escherichia coli,rel0
Isocitrate lyase,4.1.3.1,Endogenous Enzyme,0.0014002,,,,Escherichia coli,rel0
Acetyl-CoA synthetase,6.2.1.1,Endogenous Enzyme,0.002496008,,,,Escherichia coli,rel0
Serine hydroxymethyltransferase,2.1.2.1,Endogenous Enzyme,0.00694012,,,,Escherichia coli,rel0
Acetate kinase,2.7.2.1,Endogenous Enzyme,0.002922156,,,,Escherichia coli,rel0
Carbonic anhydrase,4.2.1.1,Endogenous Enzyme,0.002861277,,,,Escherichia coli,rel0
L-serine ammonia-lyase,4.3.1.17,Endogenous Enzyme,0.0014002,,,,Escherichia coli,rel0
Lactate dehydrogenase,1.1.1.27,Endogenous Enzyme,0.000365269,,,,Escherichia coli,rel0
